x,y,z
-22.558, 44.941, 552.662
18.660, -22.851, 468.854
-39.580, 30.690, 489.210
17.906, -33.957, 472.349
46.306, -32.001, 485.715
-0.061, -5.268, 479.714
-15.903, -29.884, 485.915
20.945, 7.855, 482.706
-28.844, 0.586, 483.994
-0.508, -22.462, 481.351
-19.485, 4.726, 484.986
7.840, -40.946, 476.553
10.337, 7.592, 483.715
-28.657, 32.290, 486.365
1.124, 51.219, 515.185
-0.744, 8.062, 488.964
18.464, -49.540, 476.589
-20.885, -33.173, 494.598
-24.072, 41.915, 540.020
31.770, -9.011, 476.167
52.211, -19.997, 495.879
-32.332, -27.750, 496.496
61.357, -25.503, 499.646
42.534, -42.489, 488.293
-44.353, 24.447, 497.758
