f,n,number,center,syahen,sinphi,theta(RADIAN),theta(DEGREE)
250,1.492,1,0.25,250.000125,0.001,1.568763809,89.8835453
250,1.492,2,0.75,250.001125,0.002999987,1.564698831,89.65063925
250,1.492,3,1.25,250.003125,0.004999938,1.560634029,89.41774323
250,1.492,4,1.75,250.0061249,0.006999829,1.556569518,89.18486391
250,1.492,5,2.25,250.0101248,0.008999636,1.552505416,88.95200798
250,1.492,6,2.75,250.0151245,0.010999335,1.548441838,88.71918212
250,1.492,7,3.25,250.0211241,0.012998902,1.544378901,88.48639299
250,1.492,8,3.75,250.0281234,0.014998313,1.540316722,88.25364726
250,1.492,9,4.25,250.0361224,0.016997544,1.536255416,88.02095159
250,1.492,10,4.75,250.0451209,0.018996571,1.5321951,87.78831262
250,1.492,11,5.25,250.0551189,0.020995371,1.52813589,87.55573699
250,1.492,12,5.75,250.0661163,0.022993919,1.5240779,87.32323133
250,1.492,13,6.25,250.0781128,0.024992191,1.520021248,87.09080226
250,1.492,14,6.75,250.0911084,0.026990164,1.515966047,86.85845638
250,1.492,15,7.25,250.1051029,0.028987813,1.511912413,86.62620028
250,1.492,16,7.75,250.1200962,0.030985115,1.507860461,86.39404053
250,1.492,17,8.25,250.136088,0.032982046,1.503810305,86.16198368
250,1.492,18,8.75,250.1530781,0.034978582,1.49976206,85.93003629
250,1.492,19,9.25,250.1710665,0.036974699,1.495715838,85.69820486
250,1.492,20,9.75,250.1900528,0.038970374,1.491671754,85.46649591
250,1.492,21,10.25,250.2100368,0.040965583,1.48762992,85.2349159
250,1.492,22,10.75,250.2310183,0.042960302,1.48359045,85.00347131
250,1.492,23,11.25,250.252997,0.044954507,1.479553455,84.77216856
250,1.492,24,11.75,250.2759727,0.046948174,1.475519049,84.54101408
250,1.492,25,12.25,250.2999451,0.048941281,1.471487341,84.31001424
250,1.492,26,12.75,250.3249139,0.050933804,1.467458443,84.07917541
250,1.492,27,13.25,250.3508788,0.052925718,1.463432466,83.84850393
250,1.492,28,13.75,250.3778395,0.054917001,1.45940952,83.6180061
250,1.492,29,14.25,250.4057957,0.056907629,1.455389715,83.3876882
250,1.492,30,14.75,250.434747,0.058897578,1.451373158,83.15755648
250,1.492,31,15.25,250.4646931,0.060886825,1.44735996,82.92761716
250,1.492,32,15.75,250.4956337,0.062875347,1.443350228,82.69787642
250,1.492,33,16.25,250.5275683,0.064863121,1.439344069,82.46834042
250,1.492,34,16.75,250.5604967,0.066850123,1.43534159,82.23901528
250,1.492,35,17.25,250.5944183,0.06883633,1.431342898,82.00990708
250,1.492,36,17.75,250.6293329,0.070821718,1.427348097,81.78102188
250,1.492,37,18.25,250.6652399,0.072806265,1.423357294,81.55236568
250,1.492,38,18.75,250.702139,0.074789948,1.419370592,81.32394447
250,1.492,39,19.25,250.7400297,0.076772744,1.415388094,81.09576418
250,1.492,40,19.75,250.7789116,0.078754628,1.411409905,80.86783072
250,1.492,41,20.25,250.8187842,0.08073558,1.407436126,80.64014994
250,1.492,42,20.75,250.859647,0.082715575,1.403466858,80.41272767
250,1.492,43,21.25,250.9014996,0.084694591,1.399502204,80.18556968
250,1.492,44,21.75,250.9443414,0.086672606,1.395542262,79.95868172
250,1.492,45,22.25,250.988172,0.088649596,1.391587132,79.73206947
250,1.492,46,22.75,251.0329909,0.090625539,1.387636913,79.50573859
250,1.492,47,23.25,251.0787974,0.092600412,1.383691702,79.27969468
250,1.492,48,23.75,251.1255911,0.094574193,1.379751597,79.05394331
250,1.492,49,24.25,251.1733714,0.096546859,1.375816695,78.82848999
250,1.492,50,24.75,251.2221378,0.098518388,1.371887089,78.60334019
250,1.492,51,25.25,251.2718896,0.100488758,1.367962876,78.37849934
250,1.492,52,25.75,251.3226263,0.102457946,1.364044149,78.15397281
250,1.492,53,26.25,251.3743473,0.10442593,1.360131001,77.92976593
250,1.492,54,26.75,251.427052,0.106392688,1.356223524,77.70588399
250,1.492,55,27.25,251.4807398,0.108358199,1.352321809,77.4823322
250,1.492,56,27.75,251.53541,0.110322439,1.348425947,77.25911574
250,1.492,57,28.25,251.591062,0.112285388,1.344536027,77.03623976
250,1.492,58,28.75,251.6476952,0.114247023,1.340652138,76.81370932
250,1.492,59,29.25,251.7053088,0.116207323,1.336774368,76.59152946
250,1.492,60,29.75,251.7639023,0.118166265,1.332902804,76.36970514
250,1.492,61,30.25,251.8234749,0.120123829,1.32903753,76.1482413
250,1.492,62,30.75,251.8840259,0.122079993,1.325178633,75.9271428
250,1.492,63,31.25,251.9455546,0.124034735,1.321326197,75.70641445
250,1.492,64,31.75,252.0080604,0.125988034,1.317480304,75.48606103
250,1.492,65,32.25,252.0715424,0.127939869,1.313641037,75.26608723
250,1.492,66,32.75,252.136,0.129890218,1.309808477,75.04649772
250,1.492,67,33.25,252.2014324,0.131839061,1.305982705,74.82729709
250,1.492,68,33.75,252.2678388,0.133786376,1.302163798,74.60848988
250,1.492,69,34.25,252.3352185,0.135732143,1.298351837,74.3900806
250,1.492,70,34.75,252.4035707,0.137676341,1.294546898,74.17207365
250,1.492,71,35.25,252.4728946,0.139618948,1.290749058,73.95447343
250,1.492,72,35.75,252.5431894,0.141559945,1.286958392,73.73728426
250,1.492,73,36.25,252.6144543,0.14349931,1.283174974,73.52051039
250,1.492,74,36.75,252.6866884,0.145437024,1.279398878,73.30415604
250,1.492,75,37.25,252.759891,0.147373066,1.275630177,73.08822535
250,1.492,76,37.75,252.8340612,0.149307415,1.271868941,72.87272241
250,1.492,77,38.25,252.9091981,0.151240051,1.268115241,72.65765126
250,1.492,78,38.75,252.985301,0.153170954,1.264369147,72.44301588
250,1.492,79,39.25,253.0623688,0.155100105,1.260630727,72.22882018
250,1.492,80,39.75,253.1404008,0.157027483,1.256900048,72.01506803
250,1.492,81,40.25,253.219396,0.158953069,1.253177177,71.80176323
250,1.492,82,40.75,253.2993535,0.160876842,1.249462179,71.58890951
250,1.492,83,41.25,253.3802725,0.162798783,1.245755118,71.37651058
250,1.492,84,41.75,253.462152,0.164718873,1.242056058,71.16457005
250,1.492,85,42.25,253.5449911,0.166637092,1.238365061,70.9530915
250,1.492,86,42.75,253.6287888,0.168553421,1.234682188,70.74207843
250,1.492,87,43.25,253.7135442,0.170467841,1.2310075,70.5315343
250,1.492,88,43.75,253.7992563,0.172380332,1.227341056,70.32146251
250,1.492,89,44.25,253.8859242,0.174290875,1.223682913,70.11186638
250,1.492,90,44.75,253.9735469,0.176199453,1.22003313,69.9027492
250,1.492,91,45.25,254.0621233,0.178106045,1.216391762,69.69411418
250,1.492,92,45.75,254.1516526,0.180010634,1.212758864,69.48596448
250,1.492,93,46.25,254.2421336,0.1819132,1.209134491,69.2783032
250,1.492,94,46.75,254.3335654,0.183813725,1.205518696,69.0711334
250,1.492,95,47.25,254.425947,0.185712191,1.201911531,68.86445805
250,1.492,96,47.75,254.5192773,0.187608579,1.198313046,68.65828008
250,1.492,97,48.25,254.6135552,0.189502872,1.194723293,68.45260235
