x,y,z
75.2,-75.2,470.01
76.8,-76.8,480.01
78.4,-78.4,490.01
80,-80,500.01
81.6,-81.6,510.01
83.2,-83.2,520.01
84.8,-84.8,530.01
37.6,-75.2,470.01
38.4,-76.8,480.01
39.2,-78.4,490.01
40,-80,500.01
40.8,-81.6,510.01
41.6,-83.2,520.01
42.4,-84.8,530.01
0,-75.2,470.01
0,-76.8,480.01
0,-78.4,490.01
0,-80,500.01
0,-81.6,510.01
0,-83.2,520.01
0,-84.8,530.01
-37.6,-75.2,470.01
-38.4,-76.8,480.01
-39.2,-78.4,490.01
-40,-80,500.01
-40.8,-81.6,510.01
-41.6,-83.2,520.01
-42.4,-84.8,530.01
-75.2,-75.2,470.01
-76.8,-76.8,480.01
-78.4,-78.4,490.01
-80,-80,500.01
-81.6,-81.6,510.01
-83.2,-83.2,520.01
-84.8,-84.8,530.01
75.2,-37.6,470.01
76.8,-38.4,480.01
78.4,-39.2,490.01
80,-40,500.01
81.6,-40.8,510.01
83.2,-41.6,520.01
84.8,-42.4,530.01
37.6,-37.6,470.01
38.4,-38.4,480.01
39.2,-39.2,490.01
40,-40,500.01
40.8,-40.8,510.01
41.6,-41.6,520.01
42.4,-42.4,530.01
0,-37.6,470.01
0,-38.4,480.01
0,-39.2,490.01
0,-40,500.01
0,-40.8,510.01
0,-41.6,520.01
0,-42.4,530.01
-37.6,-37.6,470.01
-38.4,-38.4,480.01
-39.2,-39.2,490.01
-40,-40,500.01
-40.8,-40.8,510.01
-41.6,-41.6,520.01
-42.4,-42.4,530.01
-75.2,-37.6,470.01
-76.8,-38.4,480.01
-78.4,-39.2,490.01
-80,-40,500.01
-81.6,-40.8,510.01
-83.2,-41.6,520.01
-84.8,-42.4,530.01
75.2,0,470.01
76.8,0,480.01
78.4,0,490.01
80,0,500.01
81.6,0,510.01
83.2,0,520.01
84.8,0,530.01
37.6,0,470.01
38.4,0,480.01
39.2,0,490.01
40,0,500.01
40.8,0,510.01
41.6,0,520.01
42.4,0,530.01
0,0,470.01
0,0,480.01
0,0,490.01
0,0,500.01
0,0,510.01
0,0,520.01
0,0,530.01
-37.6,0,470.01
-38.4,0,480.01
-39.2,0,490.01
-40,0,500.01
-40.8,0,510.01
-41.6,0,520.01
-42.4,0,530.01
-75.2,0,470.01
-76.8,0,480.01
-78.4,0,490.01
-80,0,500.01
-81.6,0,510.01
-83.2,0,520.01
-84.8,0,530.01
75.2,37.6,470.01
76.8,38.4,480.01
78.4,39.2,490.01
80,40,500.01
81.6,40.8,510.01
83.2,41.6,520.01
84.8,42.4,530.01
37.6,37.6,470.01
38.4,38.4,480.01
39.2,39.2,490.01
40,40,500.01
40.8,40.8,510.01
41.6,41.6,520.01
42.4,42.4,530.01
0,37.6,470.01
0,38.4,480.01
0,39.2,490.01
0,40,500.01
0,40.8,510.01
0,41.6,520.01
0,42.4,530.01
-37.6,37.6,470.01
-38.4,38.4,480.01
-39.2,39.2,490.01
-40,40,500.01
-40.8,40.8,510.01
-41.6,41.6,520.01
-42.4,42.4,530.01
-75.2,37.6,470.01
-76.8,38.4,480.01
-78.4,39.2,490.01
-80,40,500.01
-81.6,40.8,510.01
-83.2,41.6,520.01
-84.8,42.4,530.01
75.2,75.2,470.01
76.8,76.8,480.01
78.4,78.4,490.01
80,80,500.01
81.6,81.6,510.01
83.2,83.2,520.01
84.8,84.8,530.01
37.6,75.2,470.01
38.4,76.8,480.01
39.2,78.4,490.01
40,80,500.01
40.8,81.6,510.01
41.6,83.2,520.01
42.4,84.8,530.01
0,75.2,470.01
0,76.8,480.01
0,78.4,490.01
0,80,500.01
0,81.6,510.01
0,83.2,520.01
0,84.8,530.01
-37.6,75.2,470.01
-38.4,76.8,480.01
-39.2,78.4,490.01
-40,80,500.01
-40.8,81.6,510.01
-41.6,83.2,520.01
-42.4,84.8,530.01
-75.2,75.2,470.01
-76.8,76.8,480.01
-78.4,78.4,490.01
-80,80,500.01
-81.6,81.6,510.01
-83.2,83.2,520.01
-84.8,84.8,530.01
